"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimal Design and Tracking Control of Low-Thrust Orbit Transfers Between Planar and Vertical Lyapunov Orbits","C. Du; J. Zhang; L. Song; X. Yue","Northwestern Polytechnical University, Xi'an, China; Northwestern Polytechnical University, Xi'an, China; Northwestern Polytechnical University, Xi'an, China; Northwestern Polytechnical University, Xi'an, China",IEEE Transactions on Aerospace and Electronic Systems,"8 Aug 2024","2024","60","4","5395","5405","This article investigates the fuel-optimal transfer problem between planar and vertical Lyapunov orbits in cislunar space utilizing a low-thrust engine with variable specific impulse. The equations governing the motion of spacecraft with bounded specific impulse in the Earth–Moon system are derived employing the Pontryagin Minimum Principle. A modified logarithmic homotopy function is utilized to address the bang–bang discontinuity arising from the fuel optimization problem. Given the challenge of predicting transfer time in fuel-optimal problem without prior information, we initiate the optimization process by simplifying the calculation into a constant specific impulse time-optimal transfer scenario. The trajectory is determined through the dynamical evolution configuration. It then serves as an initial guess and is gradually transitioned into the variable specific impulse model, thereby yielding the final transfer trajectory. Finally, for practical applications, a model predictive controller combined with an extended Kalman filter is developed for real-time tracking and control of the reference transfer trajectory, while accounting for potential measurement errors in spacecraft state information. The simulation results demonstrate a high success rate and rapid convergence for the trajectory optimization and tracking method, providing valuable insights for missions with similar trajectory designs.","1557-9603","","10.1109/TAES.2024.3392168","Young Talent Fund of Association for Science and Technology in Shaanxi, China(grant numbers:20240520); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10506552","Cislunar space;Lyapunov orbit;model predictive control (MPC);variable specific impulse engine","Space vehicles;Moon;Planetary orbits;Trajectory;Engines;Earth;Attitude control","","2","","44","IEEE","22 Apr 2024","Aug. 2024","","IEEE","IEEE Journals"
"Performance Analysis of Robust Cooperative Positioning Based on GPS/UWB Integration for Connected Autonomous Vehicles","Y. Gao; H. Jing; M. Dianati; C. M. Hancock; X. Meng","Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; School of Architecture, Building, Civil Engineering, Loughborough University, Loughborough, U.K.; UbiPOS U.K. Ltd., Nottingham, U.K.",IEEE Transactions on Intelligent Vehicles,"23 Jan 2023","2023","8","1","790","802","The accurate position is a key requirement for autonomous vehicles. Although Global Navigation Satellite Systems (GNSS) are widely used in many applications, their performance is often disturbed, particularly in urban areas. Therefore, many studies consider multi-sensor integration and cooperative positioning (CP) approaches to provide additional degrees of freedom to address the shortcomings of GNSS. However, few studies adopted real-world datasets and internode ranging outliers within CP is left untouched, leading to unexpected challenges in practical applications. To address this, we propose a Robust Cooperative Positioning (RCP) scheme that augments the GPS with the Ultra-Wideband (UWB) system. A field experiment is conducted to generate a real-world dataset to evaluate the RCP scheme. Moreover, the analysis of the collected dataset enables us to optimise a simple but effective Robust Kalman Filter (RKF) to mitigate the influence of outlier measurements and improve the robustness of the proposed solution. Finally, a simulated dataset is derived from the real-world data to comprehensively study the performance of the proposed RCP method in urban canyon scenarios. Our results demonstrate that the proposed solution can crucially improve positioning performance when the number of visible GPS satellite is limited and is robust against various adverse effects in such environments.","2379-8904","","10.1109/TIV.2022.3144341","Jaguar Land Rover; Engineering and Physical Sciences Research Council; Towards Autonomy: Smart and Connected Control(grant numbers:EP/N01300X/1); Ningbo Municipal Bureau of Science and Technology; Commonweal Research Program(grant numbers:2019C50017); Ningbo Nottingham New Material Institute(grant numbers:A0060); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9689959","Connected and autonomous vehicles;cooperative positioning;GPS;UWB;V2X systems","Global Positioning System;Position measurement;Distance measurement;Global navigation satellite system;Vehicle-to-everything;Measurement uncertainty;Weight measurement","","62","","44","IEEE","21 Jan 2022","Jan. 2023","","IEEE","IEEE Journals"
"Tag Localization by Handheld UHF RFID Reader With Optical and RFID Landmarks","A. R. Chatzistefanou; G. Sergiadis; A. G. Dimitriou","School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Journal of Radio Frequency Identification,"20 Jul 2023","2023","7","","330","340","In this paper a prototype method for manual inventorying and real-time 3D localization of RFID tagged products by a low-cost handheld UHF RFID reader is introduced. The device is equipped with a UHF RFID reader and an optical camera. “ArUco” markers with RFID tags are placed at known positions. Those optical and RF landmarks are used for the estimation of the pose of the handheld reader over time, by fusing the corresponding measurements in a Kalman filter. The reader also measures RFID tagged items at unknown locations. The positions of the tags are estimated by unwrapping the collected phase measurements, combined with the estimated antenna trajectory. Experimental results show that increased accuracy can be achieved by increasing the spatial density of the optical and RFID markers. The proposed method is expected to enhance low-cost manual inventorying, delivering 3D localization of the tagged products.","2469-7281","","10.1109/JRFID.2023.3238822","European Union and Greek National Funds through the Operational Program Competitiveness, Entrepreneurship and Innovation(grant numbers:T2EDK-02000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10024268","RFID;portable;phase;localization;optical","Cameras;Phase measurement;Trajectory;Antenna measurements;Location awareness;Robots;Optical sensors","","5","","32","IEEE","23 Jan 2023","2023","","IEEE","IEEE Journals"
"Bearing-only AUV tracking performance: The effect of uncertainty in underwater nodes position","R. Costanzi; D. Fenucci; V. Manzari; A. Caiti","Research Center “E. Piaggio”, University of Pisa, Pisa, Italy; Research Center “E. Piaggio”, University of Pisa, Pisa, Italy; Department of Information Engineering (DII), University of Pisa, Pisa, Italy; Research Center “E. Piaggio”, University of Pisa, Pisa, Italy",OCEANS 2016 MTS/IEEE Monterey,"1 Dec 2016","2016","","","1","6","We analyze a specific practical problem of bearing-only localization of a stationary target using noisy measurements from three sensors. It is well understood that the performance of any target position estimator is considerably influenced by the sensor-target geometry. The performance achievable can be measured in terms of the Cramer-Rao lower bound (CRLB) on the algorithm covariance. However, the CRLB is calculated assuming exact knowledge of sensors location, which in practice is not true. In this paper, the effect of unavoidable uncertainty in network sensor positions is numerically evaluated in terms of Mean Square Error (MSE), offering detailed comparison with the ideal case of exact sensors location often assumed in the literature. The problem is cast into a probabilistic framework based on Monte Carlo simulations with a static target whose position is estimated through an Extended Kalman Filter (EKF). The positions of the sensors for each simulation are sampled from a Gaussian distribution with a mean equal to the nominal position while the standard deviation takes into account both the placement error during the deployment and the sensor position measurement uncertainty. The presented results confirm the need of our preliminary analysis for the following design of a test range for Autonomous Underwater Vehicles (AUVs).","","978-1-5090-1537-5","10.1109/OCEANS.2016.7761134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7761134","Acoustic sensors;bearing-only localization;localization geometry;optimal sensor placement;sensor position uncertainty","Uncertainty;Geometry;Sensor phenomena and characterization;Position measurement;Vehicles;Monte Carlo methods","","4","","13","IEEE","1 Dec 2016","19-23 Sept. 2016","19-23 Sept. 2016","IEEE","IEEE Conferences"
"Positioning and Location-Aware Communications for Modern Railways with 5G New Radio","J. Talvitie; T. Levanen; M. Koivisto; T. Ihalainen; K. Pajukoski; M. Valkama","Tampere University; Tampere University; Tampere University; Nokia Bell Labs, Finland; Nokia Bell Labs, Finland; Tampere University",IEEE Communications Magazine,"24 Sep 2019","2019","57","9","24","30","Providing high-capacity radio connectivity for high-speed trains (HSTs) is one of the most important use cases of emerging fifth generation (5G) New Radio (NR) networks. In this article, we show that 5G NR technology can also facilitate high-accuracy continuous localization and tracking of HSTs. Furthermore, we describe and demonstrate how the NR network can utilize the continuous location information for efficient beam management and beamforming, as well as for downlink Doppler precompensation in the single-frequency network context. Additionally, with particular focus on millimeter-wave networks, novel concepts for low-latency inter-carrier interference (ICI) estimation and compensation, due to residual Doppler and oscillator phase noise, are described and demonstrated. The provided numerical results at 30 GHz operating band show that sub-meter positioning and sub-degree beam direction accuracies can be obtained with very high probabilities on the order of 95-99 percent. The results also show that the described Doppler precompensation and ICI estimation and cancellation methods substantially improve the throughput of the single-frequency HST network.","1558-1896","","10.1109/MCOM.001.1800954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8847221","","5G mobile communication;Rail transportation;Array signal processing;Antenna arrays;Directive antennas;Doppler shift","","37","","15","IEEE","24 Sep 2019","September 2019","","IEEE","IEEE Magazines"
"Joint Real-Time Phase Shifter Network Calibration and Beam Tracking for mmWave Communication","Y. Liu; X. Zhang; S. Zhou","Department of Electronic Engineering, Tsinghua University, Beijing, China; Research Institute of Information Technology, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Wireless Communications Letters,"8 Sep 2021","2021","10","9","1979","1983","The time-varying deviations of the phase shifter network (PSN) may cause significant performance degradation in the millimeter-wave (mmWave) multiuser communication system, especially when serving fast-moving users. In this letter, we propose an efficient joint real-time phase shifter network calibration and beam tracking (JRTPSNC-BT) algorithm. In each tracking period, the exploration strategy is determined according to the previously tracked beam directions. Then based on the latest observation and the historical observations, the time-varying channels and the time-varying PSN deviations are jointly tracked and updated. Simulation results show the superiority of our algorithm both in calibration error and spectral efficiency.","2162-2345","","10.1109/LWC.2021.3089426","Key Research and Development Program of China(grant numbers:2018YFB1801102); National Natural Science Foundation of China(grant numbers:61631013); Foundation for Innovative Research Groups of the National Natural Science Foundation of China(grant numbers:61621091); Civil Aerospace Technology Project(grant numbers:D040202); Tsinghua-Qualcomm Joint Project; Tsinghua University Initiative Scientific Research Program(grant numbers:20193080005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454554","mmWave multiuser mobile communication;real-time phase shifter network calibration;beam tracking","Radio frequency;Phase shifters;Calibration;Real-time systems;Array signal processing;Correlation;Channel estimation","","","","10","IEEE","14 Jun 2021","Sept. 2021","","IEEE","IEEE Journals"
"A mobile Wi-Fi and IMU head-tracking system for auralization in XR","Y. Masa’d; G. Vitolo; M. Sakr; D. T. Jichi; Y. Hussein; V. Lorenzoni; T. van Waterschoot","Faculty of Engineering Technology, KU Leuven, Leuven, Belgium; Faculty of Engineering Technology, KU Leuven, Leuven, Belgium; Faculty of Engineering Technology, KU Leuven, Leuven, Belgium; Faculty of Engineering Technology, KU Leuven, Leuven, Belgium; Faculty of Engineering Technology, KU Leuven, Leuven, Belgium; Department of Electrical Engineering (ESAT-STADIUS), KU Leuven, Leuven, Belgium; Department of Electrical Engineering (ESAT-STADIUS), KU Leuven, Leuven, Belgium",2025 IEEE 6th International Symposium on the Internet of Sounds (IS2),"16 Dec 2025","2025","","","1","10","Head-Tracking systems play a crucial role in various fields such as augmented reality, gaming, and immersive audio. It is therefore essential for these systems to be as accurate as possible, in order to provide immersive experiences for the users. Specifically in the context of spatial audio, knowledge of the positioning of the head allows the alignment of auditory experiences with visual stimuli. One example of that would be in VR environments, where sound sources must correspond to visual cues to create a realistic 3-D audio experience. The current problem with most of the state-of-the-art solutions, is that they are often complex, expensive, and computationally intensive. This ends up limiting their accessibility. This project aims to tackle these problems by combining several signal processing algorithms to enhance a cost-effective, head-tracking system. We explore multiple approaches to estimating position and orientation, and we present a collected and labelled dataset of 110 minutes of motion. Our method achieves average error of 2.2m and 39 degrees on our collected dataset.","","979-8-3315-7294-5","10.1109/IS264627.2025.11284664","KU Leuven; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11284664","auralization;extended reality;head tracking","Geometry;Visualization;Accuracy;Tracking;Atmospheric modeling;Signal processing algorithms;Estimation;Magnetic heads;Kalman filters;Wireless fidelity","","","","39","IEEE","16 Dec 2025","29-31 Oct. 2025","29-31 Oct. 2025","IEEE","IEEE Conferences"
"Distributed wireless radar system with application to through the wall radar","Y. Mu; X. Liu; S. Ye; H. Zhu","School of Information and Communication Engineering, Beijing Information Science and Technology University, Beijing 100101, People's Republic of China; State Key Laboratory of Space-Ground Integrated Information Technology, Beijing Institute of Satellite Information Engineering, Beijing 100095, People's Republic of China; Key Laboratory of Electromagnetic Radiation and Detection Technology, Aerospace Information Research, Institute Chinese Academy of Sciences, Beijing 100190, People's Republic of China; School of Information and Communication Engineering, Beijing Information Science and Technology University, Beijing 100101, People's Republic of China",IET International Radar Conference (IRC 2023),"19 Jun 2024","2023","2023","","31","34","Nowadays, distributed radar network system has become a hot research issue because its performance is superior to monostatic radar in target positioning accuracy, detection probability, detection range. The distributed radar network is made up of N(N>=2) active radar nodes, and each radar has its own clock, therefore, time synchronization is important issue for cooperative detection. In this paper, we have developed a distributed wireless radar network, which is a portable prototype composed of three pseudo- random coded radars (N=3). The processing flow of distributed wireless radar data is introduced for the positioning and tracking of the target inside the wall. A wireless radar signal time synchronization scheme is proposed, the fast time synchronization is based on the arrival time of the direct coupled wave of the antenna, and the slow time synchronization is based on the state matching of a moving target, a template matching algorithm is used to estimate the time bias. Based on the multi-station radar data, Levenberg-Marquardt algorithm is applied to determine the location the target, and the Kalman filter algorithm is used to track the moving target.","","978-1-83724-098-2","10.1049/icp.2024.1046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10562910","","","","","","","","19 Jun 2024","3-5 Dec. 2023","3-5 Dec. 2023","IET","IET Conferences"
"Novel Aiding Algorithm for Autonomous Pedestrian Navigation","A. Bragin; Y. Bolotin","Mechanics and Mathematics Department, Lomonosov Moscow State University, Moscow, Russia; Mechanics and Mathematics Department, Lomonosov Moscow State University, Moscow, Russia",2023 30th Saint Petersburg International Conference on Integrated Navigation Systems (ICINS),"6 Jul 2023","2023","","","1","8","An algorithm for pedestrian navigation with foot-mounted inertial measurement units (IMUs) based on the extended Kalman filter is presented. Its novelty is in adaptation of state covariances according to some diagnostic tests performed on the pedestrian’s trajectory. Two IMUs attached to both feet are needed for the algorithm work. Navigation solution is aided with information about bounded distance between feet and information about pedestrian’s straight-line motion. The latter is used for diagnostic tests needed for covariances adaptation. The algorithm was tested on real data and showed better performance and reliability than known heuristic drift elimination algorithms, which use information about straight-line motion to compensate heading drift.","","978-5-91995-095-0","10.23919/ICINS51816.2023.10168390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10168390","SINS;IMU;foot;pedestrian navigation;covariances;aiding algorithm","Legged locomotion;Pedestrians;Measurement units;Navigation;Heuristic algorithms;Estimation;Real-time systems","","1","","26","","6 Jul 2023","29-31 May 2023","29-31 May 2023","IEEE","IEEE Conferences"
"Tracking and Data Fusion in Joint Sensing and Communication Networks","E. Favarelli; E. Matricardi; L. Pucci; E. Paolini; W. Xu; A. Giorgetti","Wireless Communications Laboratory, CNIT, DEI, University of Bologna, Italy; Wireless Communications Laboratory, CNIT, DEI, University of Bologna, Italy; Wireless Communications Laboratory, CNIT, DEI, University of Bologna, Italy; Wireless Communications Laboratory, CNIT, DEI, University of Bologna, Italy; Munich Research Center, Huawei Technologies Duesseldorf GmbH, Munich, Germany; Wireless Communications Laboratory, CNIT, DEI, University of Bologna, Italy",2022 IEEE Globecom Workshops (GC Wkshps),"12 Jan 2023","2022","","","341","346","In this paper, we consider a beyond-5G multiple-input multiple-output (MIMO) joint sensing and communication (JSC) system where the base stations (BSs) act as monostatic radars by exploiting the signal transmitted to the user equipments (UEs) through a multi-beam radiation pattern. This generates a trade-off between the two functionalities, which should be investigated. This work aims to show the benefits of tracking algorithms to the root mean squared error (RMSE) of an object’s position estimation by reserving only a small fraction of the transmitted power for sensing. First, we compare the performance obtained with several tracking algorithms, such as the cubature Kalman filter (CKF), Gaussian mixture cardinalized probability hypothesis density (GMCPHD) and particle filter (PF), by varying the radar cross-section (RCS) of the object and the power devoted to sensing. Then, we consider a scenario where multiple monostatic JSC systems cooperate to improve the target position estimate accuracy via data fusion performed by tracking algorithms. Numerical results show that all tracking methods improve sensing performance under typical wireless communication scenarios and that cooperative sensing through data fusion boosts the whole system’s performance significantly, allowing the network designer to save resources for communication.","","978-1-6654-5975-4","10.1109/GCWkshps56602.2022.10008569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008569","","Wireless communication;Target tracking;Radar cross-sections;Data integration;Radar tracking;Particle filters;MIMO","","5","","24","IEEE","12 Jan 2023","4-8 Dec. 2022","4-8 Dec. 2022","IEEE","IEEE Conferences"
"Accurate indoor positioning by combining sensor fusion and obstruction compensation","J. Engström; J. A. Persson","Sony Europe B.V, Lund, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden",2023 13th International Conference on Indoor Positioning and Indoor Navigation (IPIN),"6 Dec 2023","2023","","","1","7","Our dependency on Global Navigation Satellite System (GNSS) for getting directions, tracking items, locating friends, or getting maps of the world has increased tremendously over the last decade. However, as soon as we enter a building, the signal strength of the satellites is too low, and we need to resort to other technologies to achieve the same goals. An Indoor Positioning System (IPS) may utilize a wide range of methods for positioning a device, such as fingerprinting, multilateration, or sensor fusion, while using one or several radio technologies to measure Received Signal Strength (RSS) or Time of Arrival (ToA). Sensor fusion is an efficient approach where an Inertial Measurement Unit (IMU) is combined with, e.g., RSS measurements converted to distances. But this approach has significant drawbacks in areas where, e.g., walls or large objects obstruct the signal path, which introduces bias in the distance estimates. This paper addresses the bias caused by signal path obstruction by compensating the measured RSS with localized RSS attenuation adjustments and thereby increasing the accuracy of the sensor fusion model significantly. We also show that a system can learn the compensation parameters over time, reducing the installation efforts and achieving higher accuracy than a fingerprinting-based system.","2471-917X","979-8-3503-2011-4","10.1109/IPIN57070.2023.10332536","Knowledge Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332536","IPS;RTLS;Indoor Positioning;Fingerprinting;Multilateration;Sensor Fusion","Fading channels;Training;Global navigation satellite system;Measurement units;Satellite broadcasting;Sensor fusion;Fingerprint recognition","","1","","26","IEEE","6 Dec 2023","25-28 Sept. 2023","25-28 Sept. 2023","IEEE","IEEE Conferences"
"Unmodulated Visible-Light Positioning: A Deep-Dive Into Techniques, Studies, and Future Prospects","M. Alijani; W. Joseph; D. Plets","Department of Information Technology (INTEC), imec-WAVES/Ghent University, Ghent, Belgium; Department of Information Technology (INTEC), imec-WAVES/Ghent University, Ghent, Belgium; Department of Information Technology (INTEC), imec-WAVES/Ghent University, Ghent, Belgium",IEEE Open Journal of the Communications Society,"19 Nov 2025","2025","6","","9448","9485","Visible Light Positioning (VLP) has emerged as a promising technology for next-generation indoor positioning systems (IPS), particularly within the scope of sixth-generation (6G) wireless networks. Its attractiveness stems from leveraging existing lighting infrastructures equipped with light-emitting diodes (LEDs), enabling cost-efficient deployments and achieving high-precision positioning accuracy in the centimeter-to-decimeter range. However, widespread adoption of traditional VLP solutions faces significant barriers due to the increased costs and operational complexity associated with modulating LEDs, which consequently reduces illumination efficiency by lowering their radiant flux. To address these limitations, recent research has introduced the concept of unmodulated Visible Light Positioning (uVLP), which exploits Light Signals of Opportunity (LSOOP) emitted by unmodulated illumination sources such as conventional LEDs. This paradigm offers a cost-effective, low-infrastructure alternative for indoor positioning by eliminating the need for modulation hardware and maintaining lighting efficiency. This paper delineates the fundamental principles of uVLP, provides a comparative analysis of uVLP versus conventional VLP methods, and classifies existing uVLP techniques according to receiver technologies into intensity-based methods (e.g., photodiodes, solar cells, etc.) and imaging-based methods. Additionally, we propose a comprehensive taxonomy categorizing techniques into demultiplexed and undemultiplexed approaches. Within this structured framework, we critically review current advancements in uVLP, discuss prevailing challenges, and outline promising research directions essential for developing robust, scalable, and widely deployable uVLP solutions.","2644-125X","","10.1109/OJCOMS.2025.3628482","imec ICON Project “PULSAR” (Flanders Innovation & Entrepreneurship), a research project bringing together academic researchers and industry partners, through the Agentschap Innoveren en Ondernemen Project(grant numbers:HBC.2023.0606); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224707","Visible light positioning (VLP);unmodulated light;indoor positioning systems (IPS)","Light emitting diodes;Lighting;Costs;Reviews;Receivers;Sensors;Hardware;Accuracy;Visible light communication;Surveys","","2","","213","CCBY","3 Nov 2025","2025","","IEEE","IEEE Journals"
"3D millimeter-Wave Sensing vs Ultra-Wideband Positioning","A. Sesyuk; S. Ioannou; M. Raspopoulos","INSPIRE Research Centre, University of Central Lancashire, Larnaca, Cyprus; INSPIRE Research Centre, University of Central Lancashire, Larnaca, Cyprus; INSPIRE Research Centre, University of Central Lancashire, Larnaca, Cyprus",2024 14th International Conference on Indoor Positioning and Indoor Navigation (IPIN),"12 Dec 2024","2024","","","1","6","Indoor positioning and sensing using millimeter-wave (mmWave) and Ultra-Wideband (UWB) technologies have garnered significant attention in the literature. While extensive research exists on 2 D positioning with these technologies, a notable gap remains in addressing 3D positioning. Existing studies predominantly focus on the horizontal plane of localization, overlooking the necessity of vertical dimension integration. This paper identifies this and directly compares mmWave and UWB for 3D localisation. Addressing this gap, our work conducts a comparative analysis of 3D sensing with mmWave and 3D positioning with UWB technologies, evaluating the accuracy, robustness, efficiency, and associated challenges. This research underscores the need for future investigations to explore and assess the performance of these technologies in three dimensions.","2471-917X","979-8-3503-6640-2","10.1109/IPIN62893.2024.10786158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786158","3D;indoor;localization;millimeter-Wave;ultra-wideband;sensing;positioning","Location awareness;Three-dimensional displays;Accuracy;Indoor navigation;Millimeter wave technology;Robustness;Sensors;Millimeter wave communication;Ultra wideband technology","","2","","26","IEEE","12 Dec 2024","14-17 Oct. 2024","14-17 Oct. 2024","IEEE","IEEE Conferences"
"Multi-Frequency Vector Tracking GNSS Receiver with Ionosphere Estimation","C. Siebert; A. Konovaltsev; M. Meurer","Institute of Communications and Navigation, German Aerospace Center (DLR), Wessling, Germany; Institute of Communications and Navigation, German Aerospace Center (DLR), Wessling, Germany; Institute of Communications and Navigation, German Aerospace Center (DLR), Wessling, Germany","2025 IEEE/ION Position, Location and Navigation Symposium (PLANS)","12 Jun 2025","2025","","","566","576","Position, velocity, and time (PVT) information is essential for a variety of applications. Global navigation satellite systems (GNSSs) are widely used for this purpose due to their global availability. However, the nearer receiver environment as well as atmospheric effects, especially from the ionosphere, can have a large impact on their performance. A proven approach to address the first is the use of vector tracking (VT) receiver architectures. They are known to be more robust in challenging environments such as dense urban areas. For the latter, multi-frequency receivers allow for a direct observation of the frequency dependent delays. In contrast to the use of conventional ionospheric models, this approach has the potential to accurately eliminate this effect. Moreover, it does not underlay regional restrictions like more accurate ionospheric corrections from Satellite Based Augmentation Systems (SBASs). To cope with both challenges at the same time, we propose a multi-frequency VT receiver architecture with ionosphere estimation. The capabilities of the proposed solution are demonstrated using a GNSS constellation simulator and actual measurements from the publicly available TEX-CUP data set and compared, among others, against a VT variant that relies on ionospheric modeling.","2153-3598","979-8-3315-2317-6","10.1109/PLANS61210.2025.11028345","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028345","GNSS Receiver;Vector tracking;Multi-frequency;Ionosphere","Global navigation satellite system;Accuracy;Satellites;Navigation;Prevention and mitigation;Urban areas;Estimation;Receivers;Vectors;Ionosphere","","","","29","IEEE","12 Jun 2025","28 April-1 May 2025","28 April-1 May 2025","IEEE","IEEE Conferences"
"Signal Processing for Passive Bistatic Radar","M. Malanowski",NA,Signal Processing for Passive Bistatic Radar,"","2019","","","","","This cutting-edge resource introduces the basic concepts of passive bistatic radar, such as bistatic geometry, bistatic radar equation and analysis of different illuminating signals. These techniques, although known for almost a century, have not been developed intensively for decades, mainly due to technical limitations, but today, the passive radar concept can be realized in practice, and is of great interest for military and civilian users. This book provides insight into understanding the potential and limitations of passive radar systems, as well as the differences between signal processing in active and passive radar. Each of the signal processing stages typically applied in passive radar is described, including digital beamforming, clutter removal, target detection, localization and tracking. These concepts are illustrated with both simulated and measured data along with examples of passive radar systems. Correlation processing, which is crucial for passive radar operation, is presented, as well as practical approaches for calculating the cross-ambiguity function. The problems of range and velocity-cell migration are also introduced. The book analyzes and compares different antenna array geometries to show readers the appropriate solution for a particular scenario of passive radar. Cartesian tracking is also presented, based on the extended Kalman filter. Parallel and sequential updating approaches are introduced and compared. These concepts are illustrated with both simulated and measured data along with examples of passive radar systems, making this book useful for both novice and advanced practitioners.","","9781630816643","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9098788.pdf&bkn=9098788&pdfType=book","","","","","","","","16 Jun 2020","","","Artech","Artech Books"
"Leveraging the SAFRAN Skydel Capabilities as Low Earth Orbit Non-Cooperative SoOP Emulator, A Case Study for Iridium-Next Constellation","A. Esmaeilkhah; A. Gaubervile; L. Chambaz; R. Saynac; L. Rene","Department of Electrical Engineering, LASSENA Laboratory, École de technologie supérieure (ÉTS), Montréal, Canada; École Nationale Supérieure des Mines d'Alès, 6 Av. de Clavières, Alès, France; Department of Electrical Engineering, Embedded Systems, National Institute of Applied Sciences of Toulouse (INSA), Toulouse, France; CESI Toulouse Engineering School, Labège, France; Department of Electrical Engineering, LASSENA Laboratory, École de technologie supérieure (ÉTS), Montréal, Canada",2025 AIAA DATC/IEEE 44th Digital Avionics Systems Conference (DASC),"2 Dec 2025","2025","","","1","8","Signals of Opportunity (SoOP) from Low-Earth-Orbit (LEO) constellations have emerged as a promising complement—and disruption-tolerant alternative—to GNSS for positioning, navigation and timing (PNT). Yet their laboratory emulation remains challenging because standard simulators implement only Medium-Earth-Orbit Two body Keplerian dynamics and GNSS waveforms. This paper demonstrates, for the first time, the repurposing of the SAFRAN Skydel GSG-8 to emulate Iridium-Next simplex down-links, validated against live sky data. Two strategies are introduced: (i) a TBK-to-SGP-4 conversion algorithm that iteratively tunes Keplerian elements until the Skydel orbit deviates by $\leqslant 1.5 \text{km}(\boldsymbol{\varepsilon m i n}=150 \mathrm{m})$ from the reference SGP-4 trajectory, and (ii) a Direct Mode that injects SGP-4 ephemerides and custom IQ waveforms via Skydel's jammer interface. An open-source base-band simulator generates DE-QPSK/ BPSK multiplexed sub-bands, pulse-shaped to 1 MHz and duty-cycled to mimic Iridium TDMA bursts. Thirty-minute outdoor recordings at 1.6262708 GHz serve as ground truth. The laboratory replay reproduces eight of nine visible satellites; Doppler residuals are $\pm 15 \text{Hz}(\sigma \approx 10 \text{Hz})$ versus $\mathbf{5 0 - 2 0 0 ~ H z}$ in field data, confirming both dynamic and RF fidelity. The approach converts Skydel into a cost-effective, repeatable testbed for LEO-SoOP research, accelerating algorithm development, resilience assessment, and multi-sensor fusion studies without costly field campaigns.","2155-7209","979-8-3315-2519-4","10.1109/DASC66011.2025.11257280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11257280","Low Earth Orbit;Signal of Opportunity;Doppler Shift;Signal Structure;Iridium-Next;Navigation;PNT","Time division multiple access;Satellites;Navigation;Heuristic algorithms;Low earth orbit satellites;Orbits;Trajectory;Iridium;Jamming;Oscillators","","","","25","IEEE","2 Dec 2025","14-18 Sept. 2025","14-18 Sept. 2025","IEEE","IEEE Conferences"
